data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6968716,152,CHI2194,2194,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","NO+AFP: No More AFP",6,,,0,60,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"Soy Chile",National,"On 20 November 2019, in Valdivia, Los Rios region, citizens and members of the No+AFP movement protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1582840374,CHL
7066381,152,CHI2176,2176,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Biobio,Biobio,"Los Angeles","Los Angeles",-37.4697,-72.3537,1,"Biobio Chile",Subnational,"On 20 November 2019, in Los Angeles, Biobio region, taxi drivers protested against online platforms for car-sharing service. The group complained about unfair competition and demand better regulation of these Apps. Furthermore, drivers claimed for tax exemptions and the re-nationalization of the country's freeways. [size=no report]",0,1587491658,CHL
7067058,152,CHI2190,2190,"20 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)","Students (Chile)",5,"Police Forces of Chile (2018-)","Civilians (Chile)",1,15,"South America",Chile,Biobio,Concepcion,Talcahuano,Talcahuano,-36.7249,-73.1168,1,"La Estrella Concepcion",Subnational,"On 20 November 2019, in Talcahuano, Biobio region, students demonstrated over general discontent with the government. Police Forces of Chile clashed against a group of rioters that blocked the road and threw rocks at cars driving in the freeway during the demonstration. State forces used teargas to dispersed the group. The group demands improvements in education, healthcare and pension policies, among other things. 3 people were arrested. [size=at least 3]",0,1587491663,CHL
7067136,152,CHI2173,2173,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile)",6,,,0,60,"South America",Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.827,-73.0498,1,"La Estrella Concepcion",Subnational,"On 20 November 2019, in Concepcion, Biobio region, taxi drivers of the urban area protested against online platforms for car-sharing service. The group complained about unfair competition and demand better regulation of these Apps. Furthermore, drivers claimed for tax exemptions and the re-nationalization of the country's freeways. [size=no report]",0,1587491664,CHL
7498636,152,CHI2174,2174,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","NO+AFP: No More AFP",6,,,0,60,"South America",Chile,Tarapaca,Iquique,Iquique,Iquique,-20.2133,-70.1503,1,"La Estrella de Iquique",Subnational,"On 20 November 2019, in Iquique, Tarapaca region, citizens and members of the No+AFP movement protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1611003165,CHL
7554975,152,CHI2179,2179,"20 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,Penalolen,"Santiago - Penalolen",-33.4684,-70.5341,1,"24 Horas (Chile)",National,"On 20 November 2019, in Penalolen (Metropolitana), rioters set fireworks in a police station, in Lo Heremida. The police officers who were inside used fire guns to disperse the rioters. Fifty people got injured. [size=at least 50]",0,1611096800,CHL
7555043,152,CHI2182,2182,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Metropolitana,Santiago,Providencia,"Santiago - Providencia",-33.4311,-70.6045,1,"24 Horas (Chile)",National,"On 20 November 2019, in Providencia, Metropolitan region, hundreds of citizens protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=hundreds]",0,1611096800,CHL
7819052,152,CHI3510,3510,"20 November 2019",2019,2,Protests,"Peaceful protest","Protesters (Chile)","Students (Chile)",6,,,0,60,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Tercera (Chile)",National,"As reported on 20 November 2019, in Santiago (Metropolitana), students staged a protest at the metro stations of the Moneda and Chile's University. This took place in the context of nationwide demonstrations against the Chilean government, whereby citizens demanded improvements in education, healthcare and pension policies, among other things. [size=no report]",0,1618442050,CHL
7819055,152,CHI2189,2189,"20 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)","Labour Group (Chile); CUT: The Workers' United Center of Chile",5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Nacion (Chile)",National,"On 20 November 2019, in Santiago, Metropolitan region, citizens and workers affiliated to the CUT demonstrated over general discontent with the government. The group's demands include reforms in education, healthcare and pension policies, among other things. A group of at least 400 rioters attacked a police patrol with rocks, sticks and other objects. Police reported 5 officers injured. [size=at least 400]",0,1618442050,CHL
8596341,152,CHI2192,2192,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","ANEF: National Association of Tax Employees; CUT: The Workers' United Center of Chile; Labour Group (Chile); NO+AFP: No More AFP; Teachers (Chile)",6,,,0,60,"South America",Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,"El Austral Temuco",Subnational,"On 20 November 2019, in Temuco (Araucania), around 4,000 workers, teachers and No More AFP members, led by the National Association of Tax Employees (ANEF) and the Workers' United Center of Chile (CUT) marched in protest over a general discontent with the government due to the its lack of action to address their demands. The latter include reforms in education, healthcare and pension policies, among others. [size=around 4,000]",0,1634574974,CHL
8620963,152,CHI3509,3509,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Tercera (Chile)",National,"On 20 November 2019, in Santiago (Metropolitana), around 100 people gathered at the Costanera Center in protest over a general discontent with the government. This took place in the context of nationwide demonstrations against the Chilean government, whereby citizens demanded improvements in education, healthcare and pension policies, among other things. [size=around 100]",0,1636381452,CHL
6931935,152,CHI2148,2148,"19 November 2019",2019,2,Protests,"Peaceful protest","Protesters (Chile)","MUS: Social Unit Movement",6,,,0,60,"South America",Chile,"Los Rios",Valdivia,Corral,Corral,-39.8887,-73.4312,1,"Biobio Chile",National,"As reported on 19 November 2019, in Corral, Los Rios region, citizens under by the MUS protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. The group blocked the main access to the district for several hours. [size=no report]",0,1582839797,CHL
6936877,152,CHI2165,2165,"19 November 2019",2019,1,Riots,"Mob violence","Rioters (Chile)",,5,"Civilians (Chile)","Students (Chile)",7,57,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"El Austral Valdivia",Subnational,"On 19 November 2019, in Valdivia (Valdivia), following the nationwide demonstrations for social and constitutional reforms, a group of rioters broke into the Santa Maria La Blanca high school and vandalized the facilities as students were occupying the site. No arrests were reported. [size=no report]",0,1582839938,CHL
6938071,152,CHI8,8,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Teachers (Chile)",6,,,0,60,"South America",Chile,Atacama,Copiapo,Copiapo,Copiapo,-27.3668,-70.3314,1,"El Diario de Atacama",Subnational,"On 19 November 2019, in Copiapo, Atacama region, around one hundred public officials from the educational branch demonstrated peacefully by blocking one street in the city center. The protesters sat down on the street and had a large breakfast. They requested improvements in their salaries, among others. [size=around 100]",0,1582839942,CHL
6953796,152,CHI2167,2167,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Valparaiso,Valparaiso,Valparaiso,Valparaiso,-33.036,-71.6296,1,"La Estrella De Valparaiso",Subnational,"On 19 November 2019, in Valparaiso, Valparaiso region, nearly 1,000 citizens protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=nearly 1,000]",0,1582840237,CHL
6953798,152,CHI2168,2168,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Valparaiso,Valparaiso,"Vina del Mar","Vina del Mar",-33.0246,-71.5518,1,"La Estrella De Valparaiso",Subnational,"On 19 November 2019, in Vina del Mar, Valparaiso region, nearly 1,000 people demonstrated in the main square of the city over a general discontent with the government. Police Forces confronted with teargas and water hoses small groups of rioters. [size=nearly 1,000]",0,1582840237,CHL
6958596,152,CHI2157,2157,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile); Teachers (Chile); Health Workers (Chile)",6,,,0,60,"South America",Chile,Valparaiso,"San Antonio","San Antonio","San Antonio",-33.5947,-71.6075,1,"Lider San Antonio",Subnational,"On 19 November 2019, in San Antonio, Valparaiso region, nearly 300 workers, teachers, and health workers protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=nearly 300]",0,1582840328,CHL
6967756,152,CHI2158,2158,"19 November 2019",2019,2,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile); Government of Chile (2018-)",1,15,"South America",Chile,Nuble,Punilla,"San Carlos","San Carlos",-36.4256,-71.9722,1,"Radio Cooperativa",National,"As reported on 19 November 2019, in San Carlos, Nuble region, citizens have demonstrated over general discontent with the government. Police Forces of Chile clashed against small groups of rioters when barricades were built around the city. Rioters have vandalized municipal buildings, destroyed streets lights, and private businesses. A total of 299 people has been arrested in the Nuble region. [size=no report]",0,1582840371,CHL
6968663,152,CHI2154,2154,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile)",1,15,"South America",Chile,"Los Lagos",Llanquihue,"Puerto Montt","Puerto Montt",-41.4693,-72.9424,1,"Soy Chile",National,"On 19 November 2019, in Puerto Montt, Los Lagos region, rioters vandalized the main square of the city and several stores around the city center. Groups of rioters built and set on fire barricades in different areas of the district. Police Forces of Chile confronted the group with teargas. The event happened during several weeks of a political and social crisis in the country. [size=no report]",0,1582840374,CHL
6968670,152,CHI2153,2153,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,"Los Lagos",Llanquihue,"Puerto Montt","Puerto Montt",-41.4693,-72.9424,1,"Soy Chile",National,"On 19 November 2019, in Puerto Montt, Los Lagos region, citizens protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1582840374,CHL
6968679,152,CHI2166,2166,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"Soy Chile",National,"On 19 November 2019, in Valdivia, Los Rios region, nearly 200 citizens demonstrated over general discontent with the government. The demonstrators' demands include reforms in education, healthcare and pension policies, among other things. Another group of demonstrators was dispersed by police forces when a fight between demonstrators and a pedestrian was registered. [size=nearly 200]",0,1582840374,CHL
6968693,152,CHI2164,2164,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Health Workers (Chile); Students (Chile)",6,,,0,60,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"Soy Chile",National,"On 19 November 2019, in Valdivia, Los Rios region, health workers protested over general discontent with the government. In addition to the demands for improvement of social policies, the group claims improvements in the healthcare system and a significant increment in the budget for public hospitals in the country. Meanwhile, in another area of the city, a group of health workers and medical students organized a protest to demand police forces not to attack aid workers while they help people injured in the demonstrations. [size=no report]",0,1582840374,CHL
6968718,152,CHI2152,2152,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,"Los Lagos",Llanquihue,"Puerto Montt","Puerto Montt",-41.4693,-72.9424,2,"Soy Chile",National,"On 19 November 2019, in the rural area of Puerto Montt, Los Lagos region, a group of parents protested on Route Austral in the area Chaicas against the closure of the local school. The group claimed that the current social and political crisis should not affect the academic year of their children. [size=no report]",0,1582840374,CHL
7066265,152,CHI2162,2162,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Biobio,Concepcion,Talcahuano,Talcahuano,-36.7249,-73.1168,1,"El Sur; Biobio Chile",Subnational,"On 19 November 2019, in Talcahuano, Biobio region, citizens demonstrated over general discontent with the government. Rioters built barricades in the freeway that crosses through the district in direction to Concepcion. The group's demands reforms in education, healthcare and pension policies, among other things. Police Forces of Chile dispersed the group. [size=no report]",0,1587491658,CHL
7066860,152,CHI2146,2146,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.827,-73.0498,1,"El Sur",Subnational,"On 19 November 2019, in Concepcion, Biobio region, Police Forces of Chile and a small group of rioters clashed during an evening demonstration over a general discontent with the government. Police Forces confronted with teargas and water hoses groups of rioters that built barricades across the city. [size=no report]",0,1587491662,CHL
7066986,152,CHI2144,2144,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile); ANEF: National Association of Tax Employees; CUT: The Workers' United Center of Chile",6,,,0,60,"South America",Chile,"Arica y Parinacota",Arica,Arica,Arica,-18.4746,-70.2979,1,"La Estrella Arica",Subnational,"On 19 November 2019, in Arica, Arica y Parinacota region, citizens and workers members of ANEF and the CUT protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1587491663,CHL
7067101,152,CHI2147,2147,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Labour Group (Chile); ANEF: National Association of Tax Employees",6,,,0,60,"South America",Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.827,-73.0498,1,"La Estrella Concepcion",Subnational,"On 19 November 2019, in Concepcion, Biobio region, thousands of citizens and workers affiliated to ANEF protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=thousands]",0,1587491664,CHL
7555010,152,CHI2156,2156,"19 November 2019",2019,1,Riots,"Mob violence","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,Recoleta,"Santiago - Recoleta",-33.4064,-70.6395,1,"24 Horas (Chile)",National,"On 19 November 2019, in Recoleta, Metropolitan region, a group of around 50 rioters attacked a police patrol with rocks and other objects. A police officer shot a firearm into the air to disperse the group. One police officer was reported injured. [size=around 50]",0,1611096800,CHL
7555675,152,CHI2151,2151,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Students (Chile)",6,,,0,60,"South America",Chile,Metropolitana,Santiago,Providencia,"Santiago - Providencia",-33.4311,-70.6045,1,"Biobio Chile",National,"On 19 November 2019, in Providencia, Metropolitan region, citizens and students protested over general discontent with the government. The group's demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1611096801,CHL
7819060,152,CHI3508,3508,"19 November 2019",2019,2,Riots,"Mob violence","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Tercera (Chile)",National,"As reported on 19 November 2019, in Santiago (Metropolitana), around 50 rioters started attacking a police patrol with stones and other heavy objects in the Bellavista neighbourhood. Officials started shooting back to defend themselves, injuring two rioters. Likewise, one official was injured. [size=around 50]",0,1618442050,CHL
7819061,152,CHI3507,3507,"19 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,,,0,50,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"La Tercera (Chile)",National,"On 19 November 2019, in Santiago (Metropolitana), a group of hooded suspects broke into the Faculty of Law of Chile's University. This took place in the context of nationwide demonstrations against the Chilean government, whereby citizens demanded improvements in education, healthcare and pension policies, among other things. It was not reported whether the suspects stayed at the educational establishment. [size=no report]",0,1618442050,CHL
7819064,152,CHI2159,2159,"19 November 2019",2019,2,Riots,"Violent demonstration","Rioters (Chile)",,5,"Civilians (Chile)",,7,57,"South America",Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,"El Sur",National,"As reported on 19 November 2019, in Macul commune, Santiago, Metropolitan region, a group of citizens demonstrated near the metro station in the district. The transport system was forced to suspend its service in this area. The group demands improvements in education, healthcare and pension policies, among other things. There were reports of violence but no specific episode was mentioned. [size=no report]",0,1618442050,CHL
8596342,152,CHI2149,2149,"19 November 2019",2019,2,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Araucania,Malleco,Curacautin,Curacautin,-38.4407,-71.8882,1,"El Austral Temuco",Subnational,"As reported on 19 November 2019, in Curacautin (Araucania), citizens gathered outside the town hall against the announced approval of the construction of a hydroelectric power plant in the city. [size=no report]",0,1634574974,CHL
8596343,152,CHI2163,2163,"19 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","CUT: The Workers' United Center of Chile; Labour Group (Chile)",6,,,0,60,"South America",Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,"El Austral Temuco",Subnational,"On 19 November 2019, in Temuco (Araucania), workers led by the The Workers' United Center of Chile (CUT) marched in protest over a general discontent with the government due to its lack of action to address their demands. The latter include reforms in education, healthcare and pension policies, among others.[size=no report]",0,1634574974,CHL
8596501,152,CHI2161,2161,"19 November 2019",2019,2,Protests,"Peaceful protest","Protesters (Chile)","Students (Chile); Teachers (Chile)",6,,,0,60,"South America",Chile,Maule,Talca,Talca,Talca,-35.4264,-71.6554,1,"El Centro",National,"As reported on 19 November 2019, in Talca, Maule region, around 200 students and teachers protested over general discontent with the government. In addition to the demands for improvement of social policies, the group complained about the poor conditions of the schools and demanded a better budget for public education in the country. [size=around 200]",0,1634574975,CHL
6931516,152,CHI2129,2129,"18 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,"Los Lagos",Llanquihue,"Puerto Montt","Puerto Montt",-41.4693,-72.9424,1,"Biobio Chile",National,"On 18 November 2019, in Puerto Montt, Los Lagos region, Police Forces of Chile and rioters clashed during a demonstration over a general discontent with the government. Police Forces confronted with teargas and water hoses groups of rioters that built barricades across the city. They responded to the action by throwing rocks to the police. [size=no report]",0,1582839795,CHL
6932127,152,CHI2123,2123,"18 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Military Forces of Chile (2018-)",,1,15,"South America",Chile,Tarapaca,Iquique,Iquique,Iquique,-20.2133,-70.1503,1,"Biobio Chile",National,"On 18 November 2019, in Iquique, Tarapaca region, citizens demonstrated over general discontent with the government. A group of rioters set on fire the main entrance of a military base and then proceeded set barricades in several areas of the city. The group demands improvements in education, healthcare and pension policies, among other things. [size=no report]",0,1582839797,CHL
6936872,152,CHI2138,2138,"18 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)","Students (Chile)",6,,,0,60,"South America",Chile,"Los Rios",Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,1,"El Austral Valdivia",Subnational,"On 18 November 2019, in Valdivia (Valdivia), a group of students peacefully broke into the Comercial high school in the context of nationwide demonstrations against the Chilean government. Protesters were demanding improvements in education, healthcare and pension policies, among others. [size=no report]",0,1582839938,CHL
6937949,152,CHI2125,2125,"18 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Chile)",,6,,,0,60,"South America",Chile,Coquimbo,Elqui,"La Serena","La Serena",-29.9045,-71.2489,1,"El Dia (Chile)",National,"On 18 November 2019, in La Serena, Coquimbo region, citizens protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1582839942,CHL
6937963,152,CHI2126,2126,"18 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)","Civilians (Chile); Labour Group (Chile); Government of Chile (2018-)",1,15,"South America",Chile,Coquimbo,Elqui,"La Serena","La Serena",-29.9045,-71.2489,1,"El Dia (Chile)",National,"On 18 November 2019, in La Serena, Coquimbo region, a small group of rioters built barricades on Route 5 to demonstrate over general discontent with the government. Demonstrators vandalized and set on fire multiple stores and burned down the building of a regional development agency with Molotov bombs. Police Forces confronted rioters with teargas. 25 people were reported arrested. [size=at least 25]",0,1582839942,CHL
6953535,152,CHI2128,2128,"18 November 2019",2019,1,Riots,"Mob violence","Rioters (Chile)","Vigilante Group (Chile)",5,"Rioters (Chile)","Students (Chile)",5,55,"South America",Chile,Metropolitana,Cordillera,"Puente Alto","Puente Alto",-33.6183,-70.5899,1,"La Cuarta (Chile)",National,"On 18 November 2019, in Puente Alto, Metropolitan region, a group of neighbors confronted a group of nearly 400 rioters, mostly students, that built barricades at the entrance of one of the main metro stations of the district. Police Forces of Chile dispersed the groups. [size=at least 400]",0,1582840236,CHL
6953776,152,CHI2142,2142,"18 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Chile)",,5,"Police Forces of Chile (2018-)",,1,15,"South America",Chile,Valparaiso,Valparaiso,Valparaiso,Valparaiso,-33.036,-71.6296,1,"La Estrella De Valparaiso",Subnational,"On 18 November 2019, in Valparaiso, Valparaiso region, Police Forces of Chile and groups of rioters clashed during a demonstration over a general discontent with the government. Police Forces confronted with teargas and water hoses groups of rioters when a group attempted to reach the congress. Rioters built barricades across the city. One person is reported in coma after being injured with pellets shot by police officers. [size=no report]",0,1582840237,CHL
