codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
8301001,DGA,dga_web,Liucura,1043,-38.6517,-71.0919,83.0,Rio Bio-Bio,830.0,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),1987-05-01,2015-03-31,9777,-
9130001,DGA,dga_web,Cherquenco,500,-38.6839,-72.0,91.0,Rio Imperial,913.0,Rio Quepe,2011-05-01,2016-12-31,1999,-
9129005,DGA,dga_web,Pueblo Nuevo (Temuco),119,-38.7128,-72.5558,91.0,Rio Imperial,912.0,Cautin Alto (Hasta Antes Junta R. Quepe),2005-12-01,2020-03-31,3055,2013-10-11
9129006,DGA,dga_web,Temuco Centro,122,-38.7425,-72.59,91.0,Rio Imperial,912.0,Cautin Alto (Hasta Antes Junta R. Quepe),2009-11-17,2011-01-26,428,-
9153001,DGA,dga_web,Puerto Saavedra,5,-38.7886,-73.3936,91.0,Rio Imperial,915.0,Rio Imperial,1979-07-01,2015-06-30,12672,-
9400000,DGA,dga_web,Rio Truful En Camino Internacional,520,-38.8444,-71.6536,94.0,Rio Tolten,940.0,Rio Allipen,2015-12-22,2020-03-29,1354,2016-04-10
9401001,DGA,dga_web,Tricauco,520,-38.8506,-71.55,94.0,Rio Tolten,940.0,Rio Allipen,1989-05-09,2016-11-30,9675,-
9403001,DGA,dga_web,Cunco,380,-38.9269,-72.0125,94.0,Rio Tolten,940.0,Rio Allipen,1986-05-01,1989-03-31,1066,-
9135003,DGA,dga_web,Freire Sendos,100,-38.9592,-72.6083,91.0,Rio Imperial,913.0,Rio Quepe,1984-06-27,1987-04-19,1022,-
9438001,DGA,dga_web,Teodoro Schmitd,13,-39.0278,-73.0781,94.0,Rio Tolten,943.0,Tolten Bajo,1989-04-01,2016-12-31,9783,-
9423001,DGA,dga_web,Rio Tolten En Coipue,200,-39.1,-72.3833,94.0,Rio Tolten,942.0,Lago Villarica Y Rio Tolten Alto (Antes  Allipen),2015-06-01,2020-03-25,1003,2016-11-01
9417002,DGA,dga_web,Ojos Del Caburgua,300,-39.2367,-71.8356,94.0,Rio Tolten,941.0,Rio Pucon,1998-05-14,2001-10-31,1094,-
9420002,DGA,dga_web,Pucon,230,-39.2753,-71.9503,94.0,Rio Tolten,942.0,Lago Villarica Y Tolten Alto,1986-04-01,2020-02-14,10389,2016-01-02
9412002,DGA,dga_web,Curarrehue,420,-39.3581,-71.5744,94.0,Rio Tolten,941.0,Rio Pucon,1997-06-01,1997-06-30,30,-
9412003,DGA,dga_web,Puesco (Aduana),620,-39.5192,-71.5478,94.0,Rio Tolten,941.0,Rio Pucon,1987-09-03,2016-12-31,9586,-
10123006,DGA,dga_web,Valdivia (U. Austral),10,-39.8103,-73.2517,101.0,Rio Valdivia,1012.0,Rio Calle Calle,2000-01-01,2014-06-30,4587,-
10123004,DGA,dga_web,Llancahue,70,-39.8561,-73.1786,101.0,Rio Valdivia,1012.0,Rio Calle Calle,2014-01-01,2019-10-29,1627,2014-01-01
10100002,DGA,dga_web,Rio Fui En Desage Lago Pirihueico,600,-39.8747,-71.8897,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),2003-04-12,2014-01-31,761,-
10307001,DGA,dga_web,Lago Ranco,100,-40.3172,-72.4692,103.0,Rio Bueno,1030.0,Afluentes Lago Ranco,2000-02-11,2016-03-31,5534,-
10360002,DGA,dga_web,Adolfo Matthei,55,-40.5883,-73.1069,103.0,Rio Bueno,1036.0,R. Rahue Bajo,1983-01-01,2020-03-31,13485,2017-01-01
10344003,DGA,dga_web,Rio Rahue Antes Junta Rio Negro,40,-40.63,-73.1783,103.0,Rio Bueno,1034.0,Rio Rahue Hasta Antes Junta Rio Negro,2014-01-01,2020-03-31,1987,2014-01-01
10322002,DGA,dga_web,Anticura,350,-40.6553,-72.1844,103.0,Rio Bueno,1032.0,Rio Pilmaiquen,2012-12-02,2016-12-31,1220,-
10355003,DGA,dga_web,Rio Forrahue En Rio Negro,52,-40.7956,-73.2144,103.0,Rio Bueno,1035.0,Rio Negro,2014-01-01,2020-03-31,1916,2014-01-01
10410005,DGA,dga_web,La Ensenada,62,-41.2269,-72.5681,104.0,Cuencas E Islas Entre R.Bueno Y R. Puelo,1041.0,Rio Maullin,1997-07-02,2006-02-28,3100,-
10512000,DGA,dga_web,Llanada Grande,248,-41.4242,-71.9386,105.0,Rio Puelo,1051.0,R. Puelo Alto,2014-01-01,2020-01-01,2041,2014-01-01
10425001,DGA,dga_web,Puerto Montt,90,-41.46,-72.9378,104.0,Cuencas E Islas Entre R.Bueno Y R. Puelo,1042.0,Costeras E Islas Entre Rio Maullin Y Rio Chamiza,2013-12-13,2020-03-31,2076,2013-12-13
